# constituency_access_raw.csv
# REAL DATA -- household electricity access % by constituency, all 47
# counties, 2019 Kenya Population and Housing Census figures as compiled
# and published by Stats Kenya:
# https://statskenya.co.ke/at-stats-kenya/about/kenya-access-to-electricity-by-constituency-stats-kenya/82/
county,constituency,access_pct
Kericho,Bureti,48.4
Bomet,Konoin,33.2
Bomet,Bomet Central,28.4
Bomet,Sotik,26.2
Bomet,Bomet East,13
Bomet,Chepalungu,8.9
Kakamega,Likuyani,33
Kakamega,Lugari,19.6
Kakamega,Malava,13.9
Kakamega,Shinyalu,27.1
Kakamega,Navakholo,11.5
Kakamega,Lurambi,62.5
Kakamega,Ikolomani,27.6
Kakamega,Matungu,11.1
Kakamega,Mumias East,18.8
Kakamega,Mumias West,29.6
Kakamega,Butere,17
Kakamega,Khwisero,16.6
Vihiga,Hamisi,37.9
Vihiga,Sabatia,48.9
Vihiga,Vihiga,40.9
Vihiga,Luanda,36.8
Vihiga,Emuhaya,25.7
Bungoma,Mt. Elgon,10.6
Bungoma,Sirisia,12
Bungoma,Bumula,10
Bungoma,Kabuchai,17.4
Bungoma,Kanduyi,44.5
Bungoma,Kimilili,20.8
Bungoma,Webuye West,24
Bungoma,Webuye East,26.2
Bungoma,Tongaren,15.4
Busia,Teso North,23.4
Busia,Teso South,27.8
Busia,Nambale,17.2
Busia,Matayos,41.4
Busia,Butula,16.9
Busia,Funyula,21.4
Busia,Budalangi,33.6
Siaya,Ugenya,15.5
Siaya,Ugunja,22.2
Siaya,Alego Usonga,21
Siaya,Gem,19.5
Siaya,Bondo,24
Siaya,Rarieda,13.2
Kisumu,Muhoroni,28.3
Kisumu,Nyando,33.8
Kisumu,Nyakach,27.5
Kisumu,Kisumu East,75.8
Kisumu,Kisumu Central,91.3
Kisumu,Kisumu West,55
Kisumu,Seme,19.2
Homa Bay,Suba,10.6
Homa Bay,Mbita,17.9
Homa Bay,Ndhiwa,7.5
Homa Bay,Homa Bay Town,41.4
Homa Bay,Rangwe,17.3
Homa Bay,Karachuonyo,15.6
Homa Bay,Kasipul,27.8
Homa Bay,Kabondo Kasipul,17.1
Migori,Rongo,35.2
Migori,Awendo,27.8
Migori,Uriri,13
Migori,Suna East,31.3
Migori,Suna West,31.5
Migori,Kuria West,29.7
Migori,Kuria East,9
Migori,Nyatike,10.3
Kisii,Kitutu Chache North,24.3
Kisii,Kitutu Chache South,64.2
Kisii,Bonchari,47.5
Kisii,Nyaribari Chache,63.8
Kisii,Nyaribari Masaba,32.4
Kisii,Bobasi,29.8
Kisii,Bomachoge Chache,32.8
Kisii,Bomachoge Borabu,26.3
Kisii,South Mugirango,19.7
